,Hauptkategorie,Subkategorie_1,Subkategorie_2,Ist 2018,Soll 2019,Soll 2020,Ist 2021,Ist 2022,Ist 2023,Soll 2024,Soll 2025,Plan 2026,Plan 2027,Plan 2028,Produktgruppe,Subprodukt,Ist 2023 %,Percentagechange Ist 2018 vs. Ist 2023,Ist 2018 %
10,2 Kompetenzen und Befähigung der Schüler:innen ,"Die Schüler:innen erreichen eine hohe Selbst-, Sozial- und Sachkompetenz. (W)",Anteil (in %) Schüler:innen in der 2. Klasse Sekundarstufe mit positiver Verhaltensbeurteilung (Stichprobe Erhebung aus Zeugnissen),76.0,85.0,80.0,81.0,86.0,87.0,85.0,85.0,85.0,85.0,85.0,Volksschule (510),Volksschule (510),14.473684210526317,14.5,0
11,2 Kompetenzen und Befähigung der Schüler:innen,"Die Schüler:innen erreichen eine hohe Selbst-, Sozial- und Sachkompetenz. (W)",Schüler:innen erhalten die zur Erreichung der Lernziele definierten Unterrichtslektionen. (L) Anteil (in %) stattgefundene Lektionen,,,,,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Volksschule (510),Volksschule (510),0.0,0.0,0
12,2 Kompetenzen und Befähigung der Schüler:innen,"Die Schüler:innen erreichen eine hohe Selbst-, Sozial- und Sachkompetenz. (W)","Die Schulen fördern und realisieren im Rahmen der Schüler:innen-Partizipation Vorhaben. (L) Anteil (in %) Schulen, die mindestens einen von Schüler:innen angeregten Vorschlag umsetzen",,,,,100.0,85.0,95.0,95.0,95.0,95.0,95.0,Volksschule (510),Volksschule (510),0.0,0.0,0
13,2 Kompetenzen und Befähigung der Schüler:innen,Die Gesundheitsförderung und Prävention ist in den Schulen verankert. (L) ,"Anteil (in %) Schulen, die mindestens ein Projekt im Bereich Gesundheitsförderung und Prävention durchführen (4)",90.0,75.0,75.0,88.0,94.0,100.0,95.0,95.0,95.0,95.0,95.0,Volksschule (510),Volksschule (510),11.11111111111111,11.1,0
14,3 Gemeinsame Förderung der Kinder und Jugendlichen,Die Schule und die Erziehungsberechtigten fördern gemeinsam die Kinder und Jugendlichen in ihrer Entwicklung. (W) (5) ,Zufriedenheit (in %) der Erziehungsberechtigten,86.0,85.0,85.0,91.0,77.0,83.0,90.0,90.0,90.0,90.0,90.0,Volksschule (510),Volksschule (510),-3.488372093023256,-3.5,0
15,3 Gemeinsame Förderung der Kinder und Jugendlichen,Die Schule und die Erziehungsberechtigten fördern gemeinsam die Kinder und Jugendlichen in ihrer Entwicklung. (W) (5) ,Zufriedenheit (in %) der Lehrpersonen ,93.0,85.0,85.0,97.0,88.0,94.0,90.0,90.0,90.0,90.0,90.0,Volksschule (510),Volksschule (510),1.0752688172043012,1.1,0
16,3 Gemeinsame Förderung der Kinder und Jugendlichen,Die Schule und die Erziehungsberechtigten fördern gemeinsam die Kinder und Jugendlichen in ihrer Entwicklung. (W) (5) ,Zufriedenheit (in %) der Schüler:innen ,89.0,85.0,85.0,90.0,87.0,90.0,90.0,90.0,90.0,90.0,90.0,Volksschule (510),Volksschule (510),1.1235955056179776,1.1,0
17,3 Gemeinsame Förderung der Kinder und Jugendlichen,Die Schule stellt Angebote für die Mitwirkung der Erziehungsberechtigten zur Verfügung. (L) ,"Anteil (in %) Schulen die mindestens zwei, von Eltern und Schule, gemeinsam organisierte Anlässe umsetzen (6)",100.0,85.0,90.0,45.0,94.0,85.0,90.0,90.0,90.0,90.0,90.0,Volksschule (510),Volksschule (510),-15.0,-15.0,0
18,Globalkredit,Nettokosten / Globalkredit,Nettokosten / Globalkredit,189215243.0,199372070.0,209258502.0,210212628.0,219971759.0,234878637.0,241691124.0,255876179.0,261825360.0,261825360.0,266123439.0,Volksschule (510),Volksschule (510),24.133041966391684,24.1,0
19,Globalkredit,Nettokosten / Globalkredit,Personalkosten,134130069.0,142067103.0,147684910.0,151154885.0,155683171.0,167326181.0,169716927.0,177725695.0,181996837.0,185260087.0,187924981.0,Volksschule (510),Volksschule (510),24.749194753638722,24.7,0
20,Globalkredit,Nettokosten / Globalkredit,Sachkosten,25457286.0,21448145.0,23821442.0,23555060.0,25144647.0,27146196.0,29359673.0,30206161.0,31452408.0,33044967.0,33192287.0,Volksschule (510),Volksschule (510),6.634289295410359,6.6,0
21,Globalkredit,Nettokosten / Globalkredit,Informatikkosten,,3571278.0,3744677.0,3266779.0,3551006.0,3711430.0,3782098.0,3935506.0,4066460.0,4056610.0,4051760.0,Volksschule (510),Volksschule (510),0.0,0.0,0
22,Globalkredit,Nettokosten / Globalkredit,Beiträge an Dritte,951194.0,10536300.0,10608093.0,11221520.0,11356861.0,11202161.0,11672160.0,12096560.0,12541560.0,12697227.0,12813160.0,Volksschule (510),Volksschule (510),1077.6946658620639,1077.7,0
23,Globalkredit,Nettokosten / Globalkredit,Residualkosten,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Volksschule (510),Volksschule (510),0.0,0.0,0
24,Globalkredit,Nettokosten / Globalkredit,Kalk. Abschreibungen und Zinsen / Finanzaufwand,21843237.0,24257207.0,25614677.0,23235951.0,26804913.0,27579138.0,28505060.0,29249870.0,30522633.0,31409490.0,32634951.0,Volksschule (510),Volksschule (510),26.259390950159993,26.3,0
25,Globalkredit,Nettokosten / Globalkredit,Mietkosten,2191918.0,2466513.0,2561313.0,2500095.0,2572222.0,2720768.0,3064245.0,3415407.0,3547266.0,3562408.0,3677739.0,Volksschule (510),Volksschule (510),24.127271184414745,24.1,0
26,Globalkredit,Nettokosten / Globalkredit,Übrige Kosten,1647085.0,1593729.0,1778730.0,1836339.0,1568439.0,2524503.0,2680656.0,2671806.0,2680126.0,2665681.0,2679671.0,Volksschule (510),Volksschule (510),53.270960515091815,53.3,0
27,Globalkredit,Nettokosten / Globalkredit,Kosten inkl. Verrechnung,194781536.0,205940275.0,215813843.0,216770630.0,226681260.0,242210377.0,248780818.0,259301004.0,266807288.0,272696469.0,276974548.0,Volksschule (510),Volksschule (510),24.34976228958375,24.3,0
28,Globalkredit,Nettokosten / Globalkredit,Verrechnungen innerhalb PG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Volksschule (510),Volksschule (510),0.0,0.0,0
29,Globalkredit,Total effektive Kosten,Total effektive Kosten,194781536.0,205940275.0,215813843.0,216770630.0,226681260.0,242210377.0,248780818.0,259301004.0,266807288.0,272696469.0,276974548.0,Volksschule (510),Volksschule (510),24.34976228958375,24.3,0
30,Globalkredit,Total effektive Kosten,Verkäufe,3407.0,1000.0,400.0,918.0,2590.0,11386.0,100.0,100.0,100.0,100.0,100.0,Volksschule (510),Volksschule (510),234.19430584091577,234.2,0
31,Globalkredit,Total effektive Kosten,Gebühren,2708900.0,3458229.0,3346932.0,2917410.0,2961641.0,3337449.0,3407680.0,3551959.0,3531959.0,3531959.0,3531959.0,Volksschule (510),Volksschule (510),23.20310827273063,23.2,0
32,Globalkredit,Total effektive Kosten,Übrige externe Erlöse,889513.0,893177.0,861496.0,842667.0,937346.0,851228.0,668781.0,4128359.0,4008359.0,3948359.0,3928359.0,Volksschule (510),Volksschule (510),-4.304040525546001,-4.3,0
33,Globalkredit,Total effektive Kosten,Beiträge von Dritten,548274.0,720000.0,731300.0,702755.0,635399.0,647940.0,730058.0,780041.0,780041.0,780041.0,780041.0,Volksschule (510),Volksschule (510),18.17813720876788,18.2,0
34,Globalkredit,Total effektive Kosten,Interne Erlöse,1416109.0,1495799.0,1615212.0,2094252.0,2172525.0,2483737.0,2283075.0,2610650.0,2610650.0,2610650.0,2610650.0,Volksschule (510),Volksschule (510),75.39165417351347,75.4,0
35,Globalkredit,Total effektive Kosten,Erlöse inkl. Verrechnung,5566293.0,6568205.0,6555340.0,6558001.0,6709501.0,7331740.0,7089694.0,11071109.0,10931109.0,10871109.0,10851109.0,Volksschule (510),Volksschule (510),31.716745776767414,31.7,0
36,Globalkredit,Total effektive Kosten,Verrechnungen innerhalb PG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Volksschule (510),Volksschule (510),0.0,0.0,0
37,Globalkredit,Total effektive Erlöse,Total effektive Erlöse,5566293.0,6568205.0,6555340.0,6558001.0,6709501.0,7331740.0,7089694.0,11071109.0,10931109.0,10871109.0,10851109.0,Volksschule (510),Volksschule (510),31.716745776767414,31.7,0
38,Globalkredit,Total Nettokosten / Globalkredit (finanziert durch Steuern),Total Nettokosten / Globalkredit (finanziert durch Steuern),189215243.0,199372070.0,209258502.0,210212628.0,219971759.0,234878637.0,241691124.0,248229895.0,255876179.0,261825360.0,266123439.0,Volksschule (510),Volksschule (510),24.133041966391684,24.1,0
39,Globalkredit,Kostendeckungsgrad in %,Kostendeckungsgrad in %,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,Volksschule (510),Volksschule (510),0.0,0.0,0
40,Stellenplan,Personal,Stelleneinheiten,219.3,228.1,242.03,247.1,255.8,267.51,264.89,278.94,,,,Volksschule (510),Volksschule (510),21.98358413132694,22.0,0
41,Stellenplan,Personal,Auszubildende,10.2,8.0,8.0,7.0,13.0,8.0,14.0,8.6,,,,Volksschule (510),Volksschule (510),-21.568627450980387,-21.6,0
42,Stellenplan,Personal,davon KV-Rotationsausbildungsplätze,2.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,,,,Volksschule (510),Volksschule (510),-50.0,-50.0,0
43,Nettokosten,Kosten,Kosten,133959827.0,142048836.0,148955132.0,148155708.0,155883594.0,166732168.0,173397419.0,184779236.0,,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",24.464305257724767,24.5,0
44,Nettokosten,Erlös,Erlös,3127764.0,3229146.0,3319651.0,3546505.0,3810867.0,4419364.0,3856173.0,7837870.0,,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",41.294675685249906,41.3,0
45,Nettokosten,Nettokosten,Nettokosten,130832063.0,138819690.0,145635481.0,144609202.0,152072728.0,162312804.0,169541247.0,176941367.0,,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",24.061946497014265,24.1,0
46,Nettokosten,Kostendeckungsgrad in %,Kostendeckungsgrad in %,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",50.0,50.0,0
47,Operative Ziele,Die Leistungen der die Lehrpersonen unterstützenden Fachleute und die Weiterbildungen stellen die Integrationsfähigkeit der Schule und den individualisierenden Unterricht sicher.,Anteil (in %) schulpsychologische Arbeit in den Schulen (vor Ort) ,16.0,15.0,15.0,14.0,14.0,11.0,15.0,13.0,,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",-31.25,-31.2,0
48,Operative Ziele,Die Schule stellt bedürfnisgerechte unterstützende präventive Angebote zur Verfügung,Wartezeit Abklärung im Schulpsychologischen Dienst (in Tagen),37.0,50.0,45.0,55.0,42.0,46.0,45.0,45.0,,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",24.324324324324326,24.3,0
49,Operative Ziele,Die Schule stellt bedürfnisgerechte unterstützende präventive Angebote zur Verfügung,Anzahl Schüler:innen pro Schulsozialarbeiter/innen-Stelle auf der Primatstufe,1482.0,1544.0,1266.0,768.0,696.0,705.0,690.0,690.0,,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",-52.42914979757085,-52.4,0
50,Leistungsmengen,Anzahl Schüler:innen im Kindergarten und Primarschule,Anzahl Schüler:innen im Kindergarten und Primarschule,8893.0,8960.0,9014.0,9297.0,9527.0,9701.0,9727.0,9908.0,,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",9.08579781850894,9.1,0
51,Leistungsmengen,Kosten / Bildungsaufwand pro Schüler:in,Kosten / Bildungsaufwand pro Schüler:in,14712.0,15493.0,16151.0,15554.0,15962.0,16732.0,17430.0,17860.0,,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",13.730288200108753,13.7,0
52,Leistungsmengen,Durchschnittliche Klassengrösse,Durchschnittliche Klassengrösse,20.5,20.4,20.4,19.7,19.8,20.0,20.5,20.5,,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",-2.4390243902439024,-2.4,0
53,Leistungsmengen,Übertritte (in %) Mittelschule ab 6. Primar (3j-Mittel),Übertritte (in %) Mittelschule ab 6. Primar (3j-Mittel),13.0,13.0,13.0,14.0,16.0,13.0,9.0,10.0,,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",0.0,0.0,0
54,Leistungsmengen,Anzahl Vollzeiteinheiten für Kindergarten- und Primarstufe,Anzahl Vollzeiteinheiten für Kindergarten- und Primarstufe,530.7,520.4,552.4,572.4,580.9,612.1,664.0,675.9,,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",15.338232523082715,15.3,0
55,Leistungsmengen,Anzahl Vollzeiteinheiten / Lektionen sonderpädagogischer Massnahmen für die Unterstützung der integrativen Ausrichtung der Volksschule,gesamt,133.2,133.6,141.0,142.2,143.6,150.2,154.0,156.3,,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",12.762762762762764,12.8,0
56,Leistungsmengen,Anzahl Vollzeiteinheiten / Lektionen sonderpädagogischer Massnahmen für die Unterstützung der integrativen Ausrichtung der Volksschule,davon Deutsch als Zweitsprache (DaZ),49.1,47.4,51.6,55.8,53.0,60.1,60.7,61.2,,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",22.403258655804482,22.4,0
57,Leistungsmengen,Anzahl Vollzeiteinheiten / Lektionen sonderpädagogischer Massnahmen für die Unterstützung der integrativen Ausrichtung der Volksschule,davon Integrative Förderung (IF),44.6,46.6,46.8,45.5,48.0,45.5,47.6,49.4,,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",2.0179372197309386,2.0,0
58,Leistungsmengen,Anzahl Vollzeiteinheiten / Lektionen sonderpädagogischer Massnahmen für die Unterstützung der integrativen Ausrichtung der Volksschule,davon Integrative Förderung plus,4.1,5.0,5.0,2.0,0.0,0.0,0.0,0.0,,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",-100.0,-100.0,0
59,Leistungsmengen,Anzahl Vollzeiteinheiten / Lektionen sonderpädagogischer Massnahmen für die Unterstützung der integrativen Ausrichtung der Volksschule,davon Therapien,33.5,32.7,35.3,36.6,40.3,42.3,43.4,43.4,,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",26.268656716417905,26.3,0
60,Leistungsmengen,Anzahl Vollzeiteinheiten / Lektionen sonderpädagogischer Massnahmen für die Unterstützung der integrativen Ausrichtung der Volksschule,davon Begabtenförderung,1.9,1.9,2.3,2.3,2.3,2.3,2.3,2.3,,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",21.052631578947363,21.1,0
61,Leistungsmengen,Anteil (in %) von Schüler:innen in besonderen Klassen (1),Anteil (in %) von Schüler:innen in besonderen Klassen (1),1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",0.0,0.0,0
62,Leistungsmengen,Anzahl Fälle Schulpsychologischer Dienst (SPD),Anzahl Fälle Schulpsychologischer Dienst (SPD),1038.0,1138.0,1068.0,1098.0,1017.0,1051.0,1037.0,1072.0,,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",1.2524084778420037,1.3,0
63,Leistungsmengen,Anzahl Fälle Schulpsychologischer Dienst (SPD),Abklärungen/Beratungen,542.0,528.0,568.0,624.0,681.0,767.0,694.0,782.0,,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",41.51291512915129,41.5,0
64,Leistungsmengen,Anzahl Fälle Schulpsychologischer Dienst (SPD),Beratungen,392.0,503.0,404.0,367.0,255.0,194.0,260.0,198.0,,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",-50.51020408163265,-50.5,0
65,Leistungsmengen,Anzahl Fälle Schulpsychologischer Dienst (SPD),Kurzberatungen,104.0,108.0,107.0,107.0,81.0,89.0,83.0,91.0,,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",-14.423076923076922,-14.4,0
66,Leistungsmengen,Kosten pro Fall SPD,Abklärungen/Beratungen,855.0,901.0,855.0,644.0,765.0,709.0,805.0,723.0,,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",-17.076023391812868,-17.1,0
67,Leistungsmengen,Kosten pro Fall SPD,Beratungen,460.0,485.0,460.0,347.0,412.0,382.0,433.0,390.0,,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",-16.956521739130434,-17.0,0
68,Leistungsmengen,Kosten pro Fall SPD,Kurzberatungen,65.0,69.0,65.0,50.0,59.0,54.0,62.0,55.0,,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",-16.923076923076923,-16.9,0
69,Leistungsmengen,Anzahl Stellenprozent pro 100 Schüler:innen,im Schulpsychologischen Dienst,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",0.0,0.0,0
70,Leistungsmengen,Anzahl Fälle Schulsozialarbeit (SSA) (2),Anzahl Fälle Schulsozialarbeit (SSA) (2),1134.0,1000.0,1134.0,2146.0,2801.0,3005.0,2102.0,3005.0,,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",164.99118165784833,165.0,0
71,Leistungsmengen,Anzahl Fälle Schulsozialarbeit (SSA) (2),Kosten pro Fall SSA,955.0,1143.0,1091.0,972.0,1089.0,1085.0,1089.0,1085.0,,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",13.612565445026178,13.6,0
72,Leistungsmengen,Anzahl Fälle Schulsozialarbeit (SSA) (2),Anzahl Time-outs,8.0,10.0,10.0,6.0,10.0,6.0,10.0,10.0,,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",-25.0,-25.0,0
73,Nettokosten,Kosten,Kosten,50835215.0,53111395.0,55897518.0,56794809.0,59193818.0,63825519.0,62161668.0,62260304.0,,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",25.553750485760705,25.6,0
74,Nettokosten,Erlös,Erlös,745717.0,887359.0,897861.0,886828.0,801783.0,827148.0,864077.0,851776.0,,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",10.919826153889478,10.9,0
75,Nettokosten,Nettokosten,Nettokosten,50089498.0,52224037.0,54999657.0,55907981.0,58392035.0,62998371.0,61297590.0,61408529.0,,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",25.771615838513696,25.8,0
76,Nettokosten,Kostendeckungsgrad in %,Kostendeckungsgrad in %,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",0.0,0.0,0
77,Operative Ziele,Die Schulen fördern und realisieren Vorhaben im Rahmen der Schüler:innen-Partizipation,"Anteil (in%) Schulen, die mindestens einen vom Schüler:innen",100.0,80.0,95.0,83.0,100.0,100.0,100.0,100.0,,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",0.0,0.0,0
78,Operative Ziele,Anschlusslösungen,Anteil (in %) Schüler:innen mit Anschlusslösung in der,,90.0,90.0,93.0,96.0,95.0,95.0,95.0,,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",0.0,0.0,0
79,Operative Ziele,Die Leistungen der die Lehrpersonen unterstützenden Fachleute und die Weiterbildungen stellen die Integrationsfähigkeit der Schule und den individualisierenden Unterricht sicher.,Anteil (in %) schulpsychologische Arbeit in den Schulen (vor Ort),16.0,15.0,15.0,14.0,14.0,11.0,15.0,13.0,,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",-31.25,-31.2,0
80,Operative Ziele,Wartezeit Abklärungen im Schulpsychologischen Dienst (in Tagen),Wartezeit Abklärungen im Schulpsychologischen Dienst (in Tagen),37.0,50.0,45.0,55.0,42.0,46.0,45.0,45.0,,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",24.324324324324326,24.3,0
81,Operative Ziele,Anzahl Schüler:innen pro Schulsozialarbeiter/innen-Stelle auf der,Anzahl Schüler:innen pro Schulsozialarbeiter/innen-Stelle auf der,644.0,700.0,697.0,768.0,696.0,705.0,690.0,690.0,,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",9.472049689440993,9.5,0
82,Leistungsmengen,Anzahl Schüler:innen in der Sekundarstufe I,Anzahl Schüler:innen in der Sekundarstufe I,2382.0,2410.0,2494.0,2532.0,2643.0,2771.0,2823.0,2863.0,,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",16.330814441645675,16.3,0
83,Leistungsmengen,Kosten / Bildungsaufwand pro Schüler:in,Kosten / Bildungsaufwand pro Schüler:in,21028.0,21670.0,22116.0,22080.0,22093.0,22735.0,22020.0,21449.0,,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",8.117747764884916,8.1,0
84,Leistungsmengen,Durchschnittliche Klassengrösse,Durchschnittliche Klassengrösse,18.0,18.0,18.0,18.0,18.0,18.0,19.0,19.0,,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",0.0,0.0,0
85,Leistungsmengen,Übertritte (in %) in die Mittelschule ab 2. Sek. (3j-Mittel),Übertritte (in %) in die Mittelschule ab 2. Sek. (3j-Mittel),6.0,6.0,6.0,7.0,7.0,5.0,4.0,5.0,,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",-16.666666666666664,-16.7,0
