,Hauptkategorie,Subkategorie_1,Subkategorie_2,Ist 2018,Soll 2019,Soll 2020,Ist 2021,Ist 2022,Ist 2023,Ist 2024,Soll 2025,Plan 2026,Plan 2027,Plan 2028,Produktgruppe,Subprodukt,Ist 2024 %,Percentagechange Ist 2018 vs. Ist 2024,Ist 2018 %
10,2 Kompetenzen und Befähigung der Schüler:innen ,"Die Schüler:innen erreichen eine hohe Selbst-, Sozial- und Sachkompetenz. (W)",Anteil (in %) Schüler:innen in der 2. Klasse Sekundarstufe mit positiver Verhaltensbeurteilung (Stichprobe Erhebung aus Zeugnissen),76.0,85.0,80.0,81.0,86.0,87.0,85.0,85.0,85.0,85.0,85.0,Volksschule (510),Volksschule (510),11.842105263157894,11.8,0
11,2 Kompetenzen und Befähigung der Schüler:innen,"Die Schüler:innen erreichen eine hohe Selbst-, Sozial- und Sachkompetenz. (W)",Schüler:innen erhalten die zur Erreichung der Lernziele definierten Unterrichtslektionen. (L) Anteil (in %) stattgefundene Lektionen,,,,,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Volksschule (510),Volksschule (510),0.0,0.0,0
12,2 Kompetenzen und Befähigung der Schüler:innen,"Die Schüler:innen erreichen eine hohe Selbst-, Sozial- und Sachkompetenz. (W)","Die Schulen fördern und realisieren im Rahmen der Schüler:innen-Partizipation Vorhaben. (L) Anteil (in %) Schulen, die mindestens einen von Schüler:innen angeregten Vorschlag umsetzen",,,,,100.0,85.0,94.0,95.0,95.0,95.0,95.0,Volksschule (510),Volksschule (510),0.0,0.0,0
13,2 Kompetenzen und Befähigung der Schüler:innen,Die Gesundheitsförderung und Prävention ist in den Schulen verankert. (L) ,"Anteil (in %) Schulen, die mindestens ein Projekt im Bereich Gesundheitsförderung und Prävention durchführen (4)",90.0,75.0,75.0,88.0,94.0,100.0,97.0,95.0,95.0,95.0,95.0,Volksschule (510),Volksschule (510),7.777777777777778,7.8,0
14,3 Gemeinsame Förderung der Kinder und Jugendlichen,Die Schule und die Erziehungsberechtigten fördern gemeinsam die Kinder und Jugendlichen in ihrer Entwicklung. (W) (5) ,Zufriedenheit (in %) der Erziehungsberechtigten,86.0,85.0,85.0,91.0,77.0,83.0,76.0,90.0,85.0,90.0,90.0,Volksschule (510),Volksschule (510),-11.627906976744185,-11.6,0
15,3 Gemeinsame Förderung der Kinder und Jugendlichen,Die Schule und die Erziehungsberechtigten fördern gemeinsam die Kinder und Jugendlichen in ihrer Entwicklung. (W) (5) ,Zufriedenheit (in %) der Lehrpersonen ,93.0,85.0,85.0,97.0,88.0,94.0,86.0,90.0,85.0,90.0,90.0,Volksschule (510),Volksschule (510),-7.526881720430108,-7.5,0
16,3 Gemeinsame Förderung der Kinder und Jugendlichen,Die Schule und die Erziehungsberechtigten fördern gemeinsam die Kinder und Jugendlichen in ihrer Entwicklung. (W) (5) ,Zufriedenheit (in %) der Schüler:innen ,89.0,85.0,85.0,90.0,87.0,90.0,78.0,90.0,85.0,90.0,90.0,Volksschule (510),Volksschule (510),-12.359550561797752,-12.4,0
17,3 Gemeinsame Förderung der Kinder und Jugendlichen,Die Schule stellt Angebote für die Mitwirkung der Erziehungsberechtigten zur Verfügung. (L) ,"Anteil (in %) Schulen die mindestens zwei, von Eltern und Schule, gemeinsam organisierte Anlässe umsetzen (6)",100.0,85.0,90.0,45.0,94.0,85.0,81.0,90.0,85.0,90.0,90.0,Volksschule (510),Volksschule (510),-19.0,-19.0,0
18,Globalkredit,Nettokosten / Globalkredit,Nettokosten / Globalkredit,189215243.0,199372070.0,209258502.0,210212628.0,219971759.0,234878637.0,243658851.0,248500944.0,260109187.0,267680367.0,275093756.0,Volksschule (510),Volksschule (510),28.773373189600797,28.8,0
19,Globalkredit,Nettokosten / Globalkredit,Personalkosten,134130069.0,142067103.0,147684910.0,151154885.0,155683171.0,167326181.0,177162584.0,177978894.0,187547037.0,191738971.0,196053856.0,Volksschule (510),Volksschule (510),32.08267566014597,32.1,0
20,Globalkredit,Nettokosten / Globalkredit,Sachkosten,25457286.0,21448145.0,23821442.0,23555060.0,25144647.0,27146196.0,27293004.0,30206161.0,30563272.0,31928025.0,32950470.0,Volksschule (510),Volksschule (510),7.210972921465392,7.2,0
21,Globalkredit,Nettokosten / Globalkredit,Informatikkosten,,3571278.0,3744677.0,3266779.0,3551006.0,3711430.0,3810283.0,3935506.0,4075893.0,4109259.0,4109558.0,Volksschule (510),Volksschule (510),0.0,0.0,0
22,Globalkredit,Nettokosten / Globalkredit,Beiträge an Dritte,951194.0,10536300.0,10608093.0,11221520.0,11356861.0,11202161.0,11543453.0,12096560.0,12368000.0,12455260.0,12627593.0,Volksschule (510),Volksschule (510),1113.5750435768098,1113.6,0
23,Globalkredit,Nettokosten / Globalkredit,Residualkosten,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Volksschule (510),Volksschule (510),0.0,0.0,0
24,Globalkredit,Nettokosten / Globalkredit,Kalk. Abschreibungen und Zinsen / Finanzaufwand,21843237.0,24257207.0,25614677.0,23235951.0,26804913.0,27579138.0,27768329.0,29249870.0,30353049.0,31318358.0,32691300.0,Volksschule (510),Volksschule (510),27.125521734713587,27.1,0
25,Globalkredit,Nettokosten / Globalkredit,Mietkosten,2191918.0,2466513.0,2561313.0,2500095.0,2572222.0,2720768.0,2906628.0,3415407.0,4259336.0,4696216.0,4936216.0,Volksschule (510),Volksschule (510),32.60660298423572,32.6,0
26,Globalkredit,Nettokosten / Globalkredit,Übrige Kosten,1647085.0,1593729.0,1778730.0,1836339.0,1568439.0,2524503.0,3317474.0,2689656.0,3119909.0,3256586.0,3387072.0,Volksschule (510),Volksschule (510),101.41486322806654,101.4,0
27,Globalkredit,Nettokosten / Globalkredit,Kosten inkl. Verrechnung,194781536.0,205940275.0,215813843.0,216770630.0,226681260.0,242210377.0,253801756.0,259572053.0,272286496.0,279502676.0,286756065.0,Volksschule (510),Volksschule (510),30.300726245428113,30.3,0
28,Globalkredit,Nettokosten / Globalkredit,Verrechnungen innerhalb PG,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Volksschule (510),Volksschule (510),0.0,0.0,0
29,Globalkredit,Total effektive Kosten,Total effektive Kosten,194781536.0,205940275.0,215813843.0,216770630.0,226681260.0,242210377.0,253801756.0,259572053.0,272286496.0,279502676.0,286756065.0,Volksschule (510),Volksschule (510),30.300726245428113,30.3,0
30,Globalkredit,Total effektive Kosten,Verkäufe,3407.0,1000.0,400.0,918.0,2590.0,11386.0,300.0,100.0,200.0,200.0,200.0,Volksschule (510),Volksschule (510),-91.19459935427062,-91.2,0
31,Globalkredit,Total effektive Kosten,Gebühren,2708900.0,3458229.0,3346932.0,2917410.0,2961641.0,3337449.0,3257575.0,3551959.0,3644310.0,3611310.0,3451310.0,Volksschule (510),Volksschule (510),20.254531359592455,20.3,0
32,Globalkredit,Total effektive Kosten,Übrige externe Erlöse,889513.0,893177.0,861496.0,842667.0,937346.0,851228.0,911994.0,4128359.0,4120929.0,3798929.0,3798929.0,Volksschule (510),Volksschule (510),2.527337992811797,2.5,0
33,Globalkredit,Total effektive Kosten,Beiträge von Dritten,548274.0,720000.0,731300.0,702755.0,635399.0,647940.0,701060.0,780041.0,850941.0,850941.0,850941.0,Volksschule (510),Volksschule (510),27.866723572520307,27.9,0
34,Globalkredit,Total effektive Kosten,Interne Erlöse,1416109.0,1495799.0,1615212.0,2094252.0,2172525.0,2483737.0,5271976.0,2610650.0,3560929.0,3560929.0,3560929.0,Volksschule (510),Volksschule (510),272.286031654343,272.3,0
35,Globalkredit,Total effektive Kosten,Erlöse inkl. Verrechnung,5566293.0,6568205.0,6555340.0,6558001.0,6709501.0,7331740.0,10142904.0,11071109.0,12177309.0,11822309.0,11662309.0,Volksschule (510),Volksschule (510),82.22008794722089,82.2,0
36,Globalkredit,Total effektive Kosten,Verrechnungen innerhalb PG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Volksschule (510),Volksschule (510),0.0,0.0,0
37,Globalkredit,Total effektive Erlöse,Total effektive Erlöse,5566293.0,6568205.0,6555340.0,6558001.0,6709501.0,7331740.0,10142904.0,11071109.0,12177309.0,11822309.0,11662309.0,Volksschule (510),Volksschule (510),82.22008794722089,82.2,0
38,Globalkredit,Total Nettokosten / Globalkredit (finanziert durch Steuern),Total Nettokosten / Globalkredit (finanziert durch Steuern),189215243.0,199372070.0,209258502.0,210212628.0,219971759.0,234878637.0,243658851.0,248500944.0,260109187.0,267680367.0,275093756.0,Volksschule (510),Volksschule (510),28.773373189600797,28.8,0
39,Globalkredit,Kostendeckungsgrad in %,Kostendeckungsgrad in %,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,Volksschule (510),Volksschule (510),33.33333333333333,33.3,0
40,Stellenplan,Personal,Stelleneinheiten,219.3,228.1,242.03,247.1,255.8,267.51,284.0,278.94,286.02,,,Volksschule (510),Volksschule (510),29.502963976288182,29.5,0
41,Stellenplan,Personal,Auszubildende,10.2,8.0,8.0,7.0,13.0,8.0,5.0,8.6,8.0,,,Volksschule (510),Volksschule (510),-50.98039215686274,-51.0,0
42,Stellenplan,Personal,davon KV-Rotationsausbildungsplätze,2.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,,,Volksschule (510),Volksschule (510),50.0,50.0,0
43,Nettokosten,Kosten,Kosten,133959827.0,142048836.0,148955132.0,148155708.0,155883594.0,166732168.0,174763261.0,184825003.0,191915079.0,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",30.459455579918,30.5,0
44,Nettokosten,Erlös,Erlös,3127764.0,3229146.0,3319651.0,3546505.0,3810867.0,4419364.0,7061927.0,7701725.0,8589972.0,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",125.78196436815566,125.8,0
45,Nettokosten,Nettokosten,Nettokosten,130832063.0,138819690.0,145635481.0,144609202.0,152072728.0,162312804.0,167701334.0,177123278.0,183325107.0,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",28.180608143433467,28.2,0
46,Nettokosten,Kostendeckungsgrad in %,Kostendeckungsgrad in %,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",100.0,100.0,0
47,Operative Ziele,Die Leistungen der die Lehrpersonen unterstützenden Fachleute und die Weiterbildungen stellen die Integrationsfähigkeit der Schule und den individualisierenden Unterricht sicher.,Anteil (in %) schulpsychologische Arbeit in den Schulen (vor Ort) ,16.0,15.0,15.0,14.0,14.0,11.0,12.0,13.0,13.0,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",-25.0,-25.0,0
48,Operative Ziele,Die Schule stellt bedürfnisgerechte unterstützende präventive Angebote zur Verfügung,Wartezeit Abklärung im Schulpsychologischen Dienst (in Tagen),37.0,50.0,45.0,55.0,42.0,46.0,43.0,45.0,45.0,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",16.216216216216218,16.2,0
49,Operative Ziele,Die Schule stellt bedürfnisgerechte unterstützende präventive Angebote zur Verfügung,Anzahl Schüler:innen pro Schulsozialarbeiter/innen-Stelle auf der Primatstufe,1482.0,1544.0,1266.0,768.0,696.0,705.0,697.0,690.0,690.0,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",-52.9689608636977,-53.0,0
50,Leistungsmengen,Anzahl Schüler:innen im Kindergarten und Primarschule,Anzahl Schüler:innen im Kindergarten und Primarschule,8893.0,8960.0,9014.0,9297.0,9527.0,9701.0,9732.0,9908.0,9956.0,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",9.434386596199259,9.4,0
51,Leistungsmengen,Kosten / Bildungsaufwand pro Schüler:in,Kosten / Bildungsaufwand pro Schüler:in,14712.0,15493.0,16151.0,15554.0,15962.0,16732.0,17232.0,17860.0,18415.0,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",17.128874388254488,17.1,0
52,Leistungsmengen,Durchschnittliche Klassengrösse,Durchschnittliche Klassengrösse,20.5,20.4,20.4,19.7,19.8,20.0,,20.5,20.6,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",0.0,0.0,0
53,Leistungsmengen,Übertritte (in %) Mittelschule ab 6. Primar (3j-Mittel),Übertritte (in %) Mittelschule ab 6. Primar (3j-Mittel),13.0,13.0,13.0,14.0,16.0,13.0,,10.0,10.0,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",0.0,0.0,0
54,Leistungsmengen,Anzahl Vollzeiteinheiten für Kindergarten- und Primarstufe,Anzahl Vollzeiteinheiten für Kindergarten- und Primarstufe,530.7,520.4,552.4,572.4,580.9,612.1,620.3,675.9,629.1,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",16.88336159788956,16.9,0
55,Leistungsmengen,Anzahl Vollzeiteinheiten / Lektionen sonderpädagogischer Massnahmen für die Unterstützung der integrativen Ausrichtung der Volksschule,gesamt,133.2,133.6,141.0,142.2,143.6,150.2,156.0,156.3,161.1,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",17.11711711711713,17.1,0
56,Leistungsmengen,Anzahl Vollzeiteinheiten / Lektionen sonderpädagogischer Massnahmen für die Unterstützung der integrativen Ausrichtung der Volksschule,davon Deutsch als Zweitsprache (DaZ),49.1,47.4,51.6,55.8,53.0,60.1,60.7,61.2,65.7,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",23.62525458248473,23.6,0
57,Leistungsmengen,Anzahl Vollzeiteinheiten / Lektionen sonderpädagogischer Massnahmen für die Unterstützung der integrativen Ausrichtung der Volksschule,davon Integrative Förderung (IF),44.6,46.6,46.8,45.5,48.0,45.5,48.1,49.4,48.8,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",7.847533632286995,7.8,0
58,Leistungsmengen,Anzahl Vollzeiteinheiten / Lektionen sonderpädagogischer Massnahmen für die Unterstützung der integrativen Ausrichtung der Volksschule,davon Integrative Förderung plus,4.1,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",-100.0,-100.0,0
59,Leistungsmengen,Anzahl Vollzeiteinheiten / Lektionen sonderpädagogischer Massnahmen für die Unterstützung der integrativen Ausrichtung der Volksschule,davon Therapien,33.5,32.7,35.3,36.6,40.3,42.3,44.9,43.4,44.3,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",34.02985074626865,34.0,0
60,Leistungsmengen,Anzahl Vollzeiteinheiten / Lektionen sonderpädagogischer Massnahmen für die Unterstützung der integrativen Ausrichtung der Volksschule,davon Begabtenförderung,1.9,1.9,2.3,2.3,2.3,2.3,2.3,2.3,2.3,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",21.052631578947363,21.1,0
61,Leistungsmengen,Anteil (in %) von Schüler:innen in besonderen Klassen (1),Anteil (in %) von Schüler:innen in besonderen Klassen (1),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",0.0,0.0,0
62,Leistungsmengen,Anzahl Fälle Schulpsychologischer Dienst (SPD),Anzahl Fälle Schulpsychologischer Dienst (SPD),1038.0,1138.0,1068.0,1098.0,1017.0,1051.0,977.0,1072.0,1023.0,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",-5.8766859344894025,-5.9,0
63,Leistungsmengen,Anzahl Fälle Schulpsychologischer Dienst (SPD),Abklärungen/Beratungen,542.0,528.0,568.0,624.0,681.0,767.0,761.0,782.0,797.0,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",40.405904059040594,40.4,0
64,Leistungsmengen,Anzahl Fälle Schulpsychologischer Dienst (SPD),Beratungen,392.0,503.0,404.0,367.0,255.0,194.0,153.0,198.0,160.0,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",-60.96938775510205,-61.0,0
65,Leistungsmengen,Anzahl Fälle Schulpsychologischer Dienst (SPD),Kurzberatungen,104.0,108.0,107.0,107.0,81.0,89.0,63.0,91.0,66.0,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",-39.42307692307692,-39.4,0
66,Leistungsmengen,Kosten pro Fall SPD,Abklärungen/Beratungen,855.0,901.0,855.0,644.0,765.0,709.0,761.0,723.0,761.0,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",-10.994152046783626,-11.0,0
67,Leistungsmengen,Kosten pro Fall SPD,Beratungen,460.0,485.0,460.0,347.0,412.0,382.0,409.0,390.0,409.0,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",-11.08695652173913,-11.1,0
68,Leistungsmengen,Kosten pro Fall SPD,Kurzberatungen,65.0,69.0,65.0,50.0,59.0,54.0,58.0,55.0,58.0,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",-10.76923076923077,-10.8,0
69,Leistungsmengen,Anzahl Stellenprozent pro 100 Schüler:innen,im Schulpsychologischen Dienst,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",0.0,0.0,0
70,Leistungsmengen,Anzahl Fälle Schulsozialarbeit (SSA) (2),Anzahl Fälle Schulsozialarbeit (SSA) (2),1134.0,1000.0,1134.0,2146.0,2801.0,3005.0,3256.0,3005.0,3005.0,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",187.1252204585538,187.1,0
71,Leistungsmengen,Anzahl Fälle Schulsozialarbeit (SSA) (2),Kosten pro Fall SSA,955.0,1143.0,1091.0,972.0,1089.0,1085.0,1004.0,1085.0,1085.0,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",5.130890052356021,5.1,0
72,Leistungsmengen,Anzahl Fälle Schulsozialarbeit (SSA) (2),Anzahl Time-outs,8.0,10.0,10.0,6.0,10.0,6.0,5.0,10.0,10.0,,,Volksschule (510),"1 Kindergarten- und Primarstufe, inkl. integrative sonderpädagogische Massnahmen",-37.5,-37.5,0
73,Nettokosten,Kosten,Kosten,50835215.0,53111395.0,55897518.0,56794809.0,59193818.0,63825519.0,66604168.0,62291029.0,66844389.0,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",31.019742908532994,31.0,0
74,Nettokosten,Erlös,Erlös,745717.0,887359.0,897861.0,886828.0,801783.0,827148.0,967125.0,823364.0,1016693.0,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",29.69061990004251,29.7,0
75,Nettokosten,Nettokosten,Nettokosten,50089498.0,52224037.0,54999657.0,55907981.0,58392035.0,62998371.0,65637044.0,61467665.0,65827695.0,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",31.03953247844488,31.0,0
76,Nettokosten,Kostendeckungsgrad in %,Kostendeckungsgrad in %,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",0.0,0.0,0
77,Operative Ziele,Die Schulen fördern und realisieren Vorhaben im Rahmen der Schüler:innen-Partizipation,"Anteil (in%) Schulen, die mindestens einen vom Schüler:innen",100.0,80.0,95.0,83.0,100.0,100.0,94.0,100.0,95.0,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",-6.0,-6.0,0
78,Operative Ziele,Anschlusslösungen,Anteil (in %) Schüler:innen mit Anschlusslösung in der,,90.0,90.0,93.0,96.0,95.0,95.0,95.0,95.0,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",0.0,0.0,0
79,Operative Ziele,Die Leistungen der die Lehrpersonen unterstützenden Fachleute und die Weiterbildungen stellen die Integrationsfähigkeit der Schule und den individualisierenden Unterricht sicher.,Anteil (in %) schulpsychologische Arbeit in den Schulen (vor Ort),16.0,15.0,15.0,14.0,14.0,11.0,12.0,13.0,13.0,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",-25.0,-25.0,0
80,Operative Ziele,Wartezeit Abklärungen im Schulpsychologischen Dienst (in Tagen),Wartezeit Abklärungen im Schulpsychologischen Dienst (in Tagen),37.0,50.0,45.0,55.0,42.0,46.0,43.0,45.0,45.0,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",16.216216216216218,16.2,0
81,Operative Ziele,Anzahl Schüler:innen pro Schulsozialarbeiter/innen-Stelle auf der,Anzahl Schüler:innen pro Schulsozialarbeiter/innen-Stelle auf der,644.0,700.0,697.0,768.0,696.0,705.0,598.0,690.0,690.0,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",-7.142857142857142,-7.1,0
82,Leistungsmengen,Anzahl Schüler:innen in der Sekundarstufe I,Anzahl Schüler:innen in der Sekundarstufe I,2382.0,2410.0,2494.0,2532.0,2643.0,2771.0,2863.0,2863.0,2896.0,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",20.19311502938707,20.2,0
83,Leistungsmengen,Kosten / Bildungsaufwand pro Schüler/in,Kosten / Bildungsaufwand pro Schüler/in,21028.0,21670.0,22116.0,22080.0,22093.0,22735.0,22926.0,21449.0,22731.0,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",9.026060490774206,9.0,0
84,Leistungsmengen,Durchschnittliche Klassengrösse,Durchschnittliche Klassengrösse,18.0,18.0,18.0,18.0,18.0,18.0,,19.0,18.0,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",0.0,0.0,0
